feature_i,feature_j,interaction_strength,index_i,index_j
Vegetation Mode (Wetland tundra),Sand (0-30 cm),0.0,35,43
Vegetation Mode (Wetland tundra),Sand (30-200 cm),0.0,35,44
Vegetation Mode (Wetland tundra),Silt (0-30 cm),0.0,35,45
Vegetation Mode (Wetland tundra),Silt (30-200 cm),0.0,35,46
Vegetation Mode (Wetland tundra),Clay (0-30 cm),0.0,35,47
Vegetation Mode (Wetland tundra),Clay (30-200 cm),0.0,35,48
Vegetation Mode (Temperate rainforest),Soil Organic Carbon (0-30 cm),0.0,36,37
Vegetation Mode (Temperate rainforest),Soil Organic Carbon (30-200 cm),0.0,36,38
Vegetation Mode (Temperate rainforest),Nitrogen (0-30 cm),0.0,36,39
Vegetation Mode (Temperate rainforest),Nitrogen (30-200 cm),0.0,36,40
Vegetation Mode (Temperate rainforest),Bulk Density (0-30 cm),0.0,36,41
Vegetation Mode (Temperate rainforest),Bulk Density (30-200 cm),0.0,36,42
Vegetation Mode (Temperate rainforest),Sand (0-30 cm),0.0,36,43
Vegetation Mode (Temperate rainforest),Sand (30-200 cm),0.0,36,44
Vegetation Mode (Temperate rainforest),Silt (0-30 cm),0.0,36,45
Vegetation Mode (Temperate rainforest),Silt (30-200 cm),0.0,36,46
Vegetation Mode (Temperate rainforest),Clay (0-30 cm),0.0,36,47
Vegetation Mode (Temperate rainforest),Clay (30-200 cm),0.0,36,48
